Trial ID,NCT ID,Trial Title,Trial Phase,Therapeutic Area,Disease,Trial Status,Sponsor,Start Date,End Date,Patient Segment,Countries
421482,NCT05170204,"A Phase I-III, Multicenter Study Evaluating the Efficacy and Safety of Multiple Therapies in Cohorts of Patients Selected According to Biomarker Status, With Locally Advanced, Unresectable, Stage III Non-Small Cell Lung Cancer",I,Oncology,"Oncology: Lung, Non-Small Cell",Planned,Roche {F. Hoffmann-La Roche},16-05-2022,14-03-2026,"['Adenocarcinoma', ' ALK', ' Large Cell', ' Second line', ' Stage III']","['Australia', ' Belgium', ' Hong Kong, S.A.R., China', ' Norway', ' South Korea', ' Spain', ' Sweden', ' Turkey', ' United Kingdom', ' United States']"
416559,NCT05089734,"Open-Label, Global, Multicenter, Randomized, Phase 3 Study of Sacituzumab Govitecan Versus Docetaxel in Patients With Advanced or Metastatic Non-Small Cell Lung Cancer (NSCLC) With Progression on or After Platinum-Based Chemotherapy and Anti-PD-1/PD-L1 Immunotherapy",II,Oncology,"Oncology: Lung, Non-Small Cell",Open,Gilead Sciences,17-11-2021,14-01-2025,"['ALK', ' EGFR', ' Second line', ' Stage III', ' Stage IV']","['Puerto Rico', ' United States']"
410354,NCT04988295,"A Phase III, Open-Label, Randomized Study of Amivantamab and Lazertinib in Combination With Platinum-Based Chemotherapy Compared With Platinum-Based Chemotherapy in Patients With EGFR-Mutated Locally Advanced or Metastatic Non-Small Cell Lung Cancer After Osimertinib Failure",III,Oncology,"Oncology: Lung, Non-Small Cell",Open,"Johnson & Johnson/Janssen R&D {Johnson & Johnson/J&JPRD {Johnson & Johnson/Janssen-Cilag/Janssen Research Foundation}}
Fisher Clinical Services",17-11-2021,24-02-2023,"['Adenocarcinoma', ' EGFR', ' Large Cell', ' Maintenance/Consolidation', ' Second line', ' Stage III', ' Stage IV']","['Argentina', ' Belgium', ' Brazil', ' Bulgaria', ' Canada', ' China', ' Czech Republic', ' Denmark', ' France', ' Germany', ' Hong Kong, S.A.R., China', ' Hungary', ' India', ' Israel', ' Italy', ' Japan', ' Malaysia', ' Mexico', ' Netherlands', ' Poland', ' Portugal', ' Puerto Rico', ' Russia', ' South Korea', ' Spain', ' Sweden', ' Taiwan, China', ' Turkey', ' United Kingdom', ' United States']"
406638,NCT04928846,"A Phase III Open-Label, Randomized, Controlled, Global Study of Telisotuzumab Vedotin (ABBV-399) Versus Docetaxel in Subjects With Previously Treated c-Met Overexpressing, EGFR Wildtype, Locally Advanced/Metastatic Non-Squamous Non-Small Cell Lung Cancer",II,Oncology,"Oncology: Lung, Non-Small Cell",Planned,AbbVie,01-06-2022,01-08-2025,"['Adenocarcinoma', ' ALK', ' EGFR', ' Large Cell', ' Second line', ' Stage III', ' Stage IV']","['Argentina', ' Austria', ' Belgium', ' China', ' Czech Republic', ' France', ' Germany', ' Greece', ' Hungary', ' Italy', ' Japan', ' Mexico', ' Netherlands', ' Poland', ' Romania', ' Slovakia', ' South Africa', ' South Korea', ' Sweden', ' Taiwan, China', ' Turkey', ' Ukraine', ' United States']"
406212,NCT04921358,A Randomized Phase III Study of Tislelizumab in Combination With Sitravatinib in Patients With Locally Advanced or Metastatic Non-Small Cell Lung Cancer That Progressed on or After Platinum-Based Chemotherapy and Anti-PD-(L)1 Antibody,I,Oncology,"Oncology: Lung, Non-Small Cell",Open,BeiGene/BeiGene (Shanghai) Biomedical Technology Co.,06-07-2021,15-03-2023,"['Adenocarcinoma', ' Large Cell', ' Second line', ' Squamous Cell', ' Stage III', ' Stage IV', ' Third line']","['Australia', ' China']"
400139,NCT04819100,LIBRETTO-432: A Placebo-controlled Double-Blinded Randomized Phase III Study of Adjuvant Selpercatinib Following Definitive Locoregional Treatment in Participants With Stage IB-IIIA RET Fusion-Positive NSCLC,III,Oncology,"Oncology: Lung, Non-Small Cell",Open,Eli Lilly/Loxo Oncology,20-12-2021,06-06-2027,"['Adjuvant', ' Stage I', ' Stage II', ' Stage III']","['Australia', ' Austria', ' Belgium', ' Brazil', ' Canada', ' China', ' Czech Republic', ' Denmark', ' France', ' Germany', ' Greece', ' Hong Kong, S.A.R., China', ' India', ' Israel', ' Italy', ' Japan', ' Mexico', ' Netherlands', ' Poland', ' Puerto Rico', ' Romania', ' Russia', ' Singapore', ' South Korea', ' Spain', ' Sweden', ' Taiwan, China', ' Turkey', ' Ukraine', ' United Kingdom', ' United States']"
400070,NCT04816214,"A Phase III Randomized, Controlled, Open-label, Multicenter, Global Study of Capmatinib in Combination With Osimertinib Versus Platinum - Pemetrexed Based Doublet Chemotherapy in Patients With Locally Advanced or Metastatic NSCLC Harboring EGFR Activating Mutations Who Have Progressed on Prior 1st / 2nd Generation EGFR-TKI or Osimertinib Therapy and Whose Tumors Are T790M Mutation Negative and Harbor MET Amplification (GEOMETRY-E)",I,Oncology,"Oncology: Lung, Non-Small Cell",Open,Novartis,22-09-2021,16-09-2025,"['EGFR', ' Second line', ' Stage III', ' Stage IV']","['Argentina', ' Bulgaria', ' Chile', ' China', ' Colombia', ' Croatia', ' France', ' Germany', ' Hong Kong, S.A.R., China', ' Hungary', ' India', ' Israel', ' Italy', ' Japan', ' Lithuania', ' Malaysia', ' Mexico', ' Netherlands', ' Poland', ' Portugal', ' Romania', ' Russia', ' Serbia', ' Singapore', ' Slovenia', ' South Korea', ' Spain', ' Taiwan, China', ' Thailand', ' United Kingdom', ' United States', ' Vietnam']"
397331,NCT04765059,"A Phase III, Randomized, Double-Blind, Placebo-Controlled Study of Platinum Plus Pemetrexed Chemotherapy Plus Osimertinib Versus Platinum Plus Pemetrexed Chemotherapy Plus Placebo in Patients With EGFRm, Locally Advanced or Metastatic NSCLC Who Have Progressed Extracranially Following First-Line Osimertinib Therapy (COMPEL)",II,Oncology,"Oncology: Lung, Non-Small Cell",Open,AstraZeneca,12-09-2021,20-05-2023,"['Adenocarcinoma', ' EGFR', ' Large Cell', ' Maintenance/Consolidation', ' Second line', ' Stage III', ' Stage IV']","['Austria', ' China', ' Germany', ' Israel', ' Italy', ' Spain', ' United States']"
392960,NCT04685135,A Randomized Phase III Study of MRTX849 Versus Docetaxel in Patients With Previously Treated Non-Small Cell Lung Cancer With KRAS G12C Mutation,II,Oncology,"Oncology: Lung, Non-Small Cell",Open,Mirati Therapeutics {MethylGene},29-01-2021,26-04-2025,"['KRAS', ' Second line', ' Stage IV']","['Australia', ' Austria', ' Belgium', ' Canada', ' Czech Republic', ' France', ' Germany', ' Greece', ' Hong Kong, S.A.R., China', ' Hungary', ' Ireland', ' Italy', ' Netherlands', ' Poland', ' Portugal', ' Puerto Rico', ' Romania', ' Russia', ' Singapore', ' South Korea', ' Spain', ' Switzerland', ' United Kingdom', ' United States']"
391116,NCT04656652,Phase III Randomized Study of DS-1062A Versus Docetaxel in Previously Treated Advanced or Metastatic Non-Small Cell Lung Cancer Without Actionable Genomic Alterations (TROPION-LUNG01),II,Oncology,"Oncology: Lung, Non-Small Cell",Open,"AstraZeneca
Daiichi Sankyo",21-12-2020,21-09-2023,"['Adenocarcinoma', ' Large Cell', ' Second line', ' Squamous Cell', ' Stage III', ' Stage IV', ' Third line']","['Argentina', ' Australia', ' Belgium', ' Brazil', ' Canada', ' Czech Republic', ' France', ' Germany', ' Hong Kong, S.A.R., China', ' Hungary', ' Israel', ' Italy', ' Japan', ' Mexico', ' Netherlands', ' Poland', ' Puerto Rico', ' Romania', ' Russia', ' Singapore', ' South Korea', ' Spain', ' Switzerland', ' Taiwan, China', ' United Kingdom', ' United States']"
